created_at,created_at,station.uuid,recv_packets,us_units
2014-10-16 17:23:42,2014-10-16 17:23:42,42,715,1
2014-10-16 17:28:42,2014-10-16 17:28:42,42,829,1
2014-10-16 17:33:42,2014-10-16 17:33:42,42,943,1
2014-10-16 17:38:42,2014-10-16 17:38:42,42,1058,1
2014-10-16 18:11:55,2014-10-16 18:11:55,42,1790,1
2014-10-16 18:17:23,2014-10-16 18:17:23,42,1916,1
2014-10-16 18:22:23,2014-10-16 18:22:23,42,2030,1
2014-10-16 18:32:24,2014-10-16 18:32:24,42,2258,1
2014-10-16 18:37:29,2014-10-16 18:37:29,42,2372,1
2014-10-16 18:42:24,2014-10-16 18:42:24,42,2486,1
2014-10-16 18:47:24,2014-10-16 18:47:24,42,2601,1
2014-10-16 18:52:24,2014-10-16 18:52:24,42,2715,1
2014-10-16 18:57:24,2014-10-16 18:57:24,42,2829,1
2014-10-16 19:02:24,2014-10-16 19:02:24,42,2943,1
2014-10-16 19:07:24,2014-10-16 19:07:24,42,3058,1
2014-10-16 19:12:25,2014-10-16 19:12:25,42,3172,1
2014-10-16 19:17:25,2014-10-16 19:17:25,42,3235,1
2014-10-16 19:17:26,2014-10-16 19:17:26,42,3221,1
2014-10-16 19:22:25,2014-10-16 19:22:25,42,3346,1
2014-10-16 19:27:25,2014-10-16 19:27:25,42,3460,1
2014-10-16 19:32:25,2014-10-16 19:32:25,42,3575,1
2014-10-16 19:37:25,2014-10-16 19:37:25,42,3689,1
2014-10-16 19:42:25,2014-10-16 19:42:25,42,3803,1
2014-10-16 19:47:26,2014-10-16 19:47:26,42,3918,1
2014-10-16 19:52:27,2014-10-16 19:52:27,42,4032,1
2014-10-16 19:57:27,2014-10-16 19:57:27,42,4146,1
2014-10-16 20:02:26,2014-10-16 20:02:26,42,4259,1
2014-10-16 20:07:26,2014-10-16 20:07:26,42,4374,1
2014-10-16 20:12:26,2014-10-16 20:12:26,42,4488,1
2014-10-16 20:17:26,2014-10-16 20:17:26,42,4603,1
2014-10-16 20:22:26,2014-10-16 20:22:26,42,4717,1
2014-10-16 20:27:26,2014-10-16 20:27:26,42,4831,1
2014-10-16 20:32:26,2014-10-16 20:32:26,42,4945,1
2014-10-16 20:37:26,2014-10-16 20:37:26,42,5060,1
2014-10-16 20:42:26,2014-10-16 20:42:26,42,5174,1
2014-10-16 20:47:27,2014-10-16 20:47:27,42,5257,1
2014-10-16 20:47:27,2014-10-16 20:47:27,42,5244,1
2014-10-16 20:52:26,2014-10-16 20:52:26,42,5264,1
2014-10-16 20:52:27,2014-10-16 20:52:27,42,5356,1
2014-10-16 20:57:27,2014-10-16 20:57:27,42,5470,1
2014-10-16 21:02:27,2014-10-16 21:02:27,42,5584,1
2014-10-16 21:07:27,2014-10-16 21:07:27,42,5699,1
2014-10-16 21:12:27,2014-10-16 21:12:27,42,5813,1
2014-10-16 21:17:27,2014-10-16 21:17:27,42,5927,1
2014-10-16 21:22:27,2014-10-16 21:22:27,42,6042,1
2014-10-16 21:27:32,2014-10-16 21:27:32,42,6156,1
2014-10-16 21:32:27,2014-10-16 21:32:27,42,6270,1
2014-10-16 21:37:27,2014-10-16 21:37:27,42,6385,1
2014-10-16 21:42:30,2014-10-16 21:42:30,42,6499,1
2014-10-16 21:47:28,2014-10-16 21:47:28,42,6613,1
2014-10-16 21:52:28,2014-10-16 21:52:28,42,6728,1
2014-10-16 21:57:28,2014-10-16 21:57:28,42,6842,1
2014-10-16 22:02:28,2014-10-16 22:02:28,42,6956,1
2014-10-16 22:07:28,2014-10-16 22:07:28,42,7069,1
2014-10-16 22:12:28,2014-10-16 22:12:28,42,7183,1
2014-10-16 22:17:28,2014-10-16 22:17:28,42,7290,1
2014-10-16 22:17:29,2014-10-16 22:17:29,42,7284,1
2014-10-16 22:22:28,2014-10-16 22:22:28,42,7334,1
2014-10-16 22:22:29,2014-10-16 22:22:29,42,7364,1
2014-10-16 22:27:28,2014-10-16 22:27:28,42,7479,1
2014-10-16 22:32:28,2014-10-16 22:32:28,42,7593,1
2014-10-16 22:37:28,2014-10-16 22:37:28,42,7707,1
2014-10-16 22:42:29,2014-10-16 22:42:29,42,7822,1
2014-10-16 22:47:29,2014-10-16 22:47:29,42,7935,1
2014-10-16 22:48:27,2014-10-16 22:48:27,202481588171316,0,1
2014-10-16 22:51:18,2014-10-16 22:51:18,202481588171316,0,1
2014-10-16 22:52:29,2014-10-16 22:52:29,42,8049,1
2014-10-16 22:57:29,2014-10-16 22:57:29,42,8164,1
2014-10-16 22:58:04,2014-10-16 22:58:04,202481588171316,0,1
2014-10-16 23:02:29,2014-10-16 23:02:29,42,8278,1
2014-10-16 23:04:04,2014-10-16 23:04:04,202481588171316,0,1
2014-10-16 23:07:29,2014-10-16 23:07:29,42,8392,1
2014-10-16 23:10:01,2014-10-16 23:10:01,202481588171316,0,1
2014-10-16 23:12:29,2014-10-16 23:12:29,42,8507,1
2014-10-16 23:15:04,2014-10-16 23:15:04,202481588171316,0,1
2014-10-16 23:17:29,2014-10-16 23:17:29,42,8621,1
2014-10-16 23:21:04,2014-10-16 23:21:04,202481588171316,0,1
2014-10-16 23:22:29,2014-10-16 23:22:29,42,8735,1
2014-10-16 23:27:02,2014-10-16 23:27:02,202481588171316,0,1
2014-10-16 23:27:29,2014-10-16 23:27:29,42,8850,1
2014-10-16 23:32:30,2014-10-16 23:32:30,42,8964,1
2014-10-16 23:33:04,2014-10-16 23:33:04,202481588171316,0,1
2014-10-16 23:37:30,2014-10-16 23:37:30,42,9078,1
2014-10-16 23:39:03,2014-10-16 23:39:03,202481588171316,0,1
2014-10-16 23:42:36,2014-10-16 23:42:36,42,9193,1
2014-10-16 23:45:01,2014-10-16 23:45:01,202481588171316,0,1
2014-10-16 23:47:30,2014-10-16 23:47:30,42,9307,1
2014-10-16 23:50:03,2014-10-16 23:50:03,202481588171316,0,1
2014-10-16 23:52:30,2014-10-16 23:52:30,42,9352,1
2014-10-16 23:52:31,2014-10-16 23:52:31,42,9392,1
2014-10-16 23:56:04,2014-10-16 23:56:04,202481588171316,0,1
2014-10-16 23:57:30,2014-10-16 23:57:30,42,9507,1
2014-10-17 00:02:02,2014-10-17 00:02:02,202481588171316,0,1
2014-10-17 00:02:30,2014-10-17 00:02:30,42,9621,1
2014-10-17 00:07:30,2014-10-17 00:07:30,42,9735,1
2014-10-17 00:08:03,2014-10-17 00:08:03,202481588171316,0,1
2014-10-17 00:12:30,2014-10-17 00:12:30,42,9849,1
2014-10-17 00:14:03,2014-10-17 00:14:03,202481588171316,0,1
2014-10-17 00:17:30,2014-10-17 00:17:30,42,9964,1
2014-10-17 00:20:04,2014-10-17 00:20:04,202481588171316,0,1
2014-10-17 00:22:30,2014-10-17 00:22:30,42,10078,1
2014-10-17 00:26:03,2014-10-17 00:26:03,202481588171316,0,1
2014-10-17 00:27:30,2014-10-17 00:27:30,42,10193,1
2014-10-17 00:32:03,2014-10-17 00:32:03,202481588171316,0,1
2014-10-17 00:32:31,2014-10-17 00:32:31,42,10307,1
2014-10-17 00:37:31,2014-10-17 00:37:31,42,10421,1
2014-10-17 00:38:04,2014-10-17 00:38:04,202481588171316,0,1
2014-10-17 00:42:31,2014-10-17 00:42:31,42,10532,1
2014-10-17 00:44:03,2014-10-17 00:44:03,202481588171316,0,1
2014-10-17 00:47:31,2014-10-17 00:47:31,42,10646,1
2014-10-17 00:50:03,2014-10-17 00:50:03,202481588171316,0,1
2014-10-17 00:52:31,2014-10-17 00:52:31,42,10760,1
2014-10-17 00:56:04,2014-10-17 00:56:04,202481588171316,0,1
2014-10-17 00:57:31,2014-10-17 00:57:31,42,10874,1
2014-10-17 01:02:04,2014-10-17 01:02:04,202481588171316,0,1
2014-10-17 01:02:31,2014-10-17 01:02:31,42,10989,1
2014-10-17 01:07:31,2014-10-17 01:07:31,42,11099,1
2014-10-17 01:08:04,2014-10-17 01:08:04,202481588171316,0,1
2014-10-17 01:12:31,2014-10-17 01:12:31,42,11213,1
2014-10-17 01:14:01,2014-10-17 01:14:01,202481588171316,0,1
2014-10-17 01:17:31,2014-10-17 01:17:31,42,11328,1
2014-10-17 01:20:03,2014-10-17 01:20:03,202481588171316,0,1
2014-10-17 01:22:31,2014-10-17 01:22:31,42,11416,1
2014-10-17 01:22:33,2014-10-17 01:22:33,42,11399,1
2014-10-17 01:26:03,2014-10-17 01:26:03,202481588171316,0,1
2014-10-17 01:27:31,2014-10-17 01:27:31,42,11488,1
2014-10-17 01:32:03,2014-10-17 01:32:03,202481588171316,0,1
2014-10-17 01:32:32,2014-10-17 01:32:32,42,11495,1
2014-10-17 01:32:33,2014-10-17 01:32:33,42,11587,1
2014-10-17 01:37:32,2014-10-17 01:37:32,42,11701,1
2014-10-17 01:38:03,2014-10-17 01:38:03,202481588171316,0,1
