created_at,created_at,station.uuid,rssi,us_units
2014-10-16 17:23:42,2014-10-16 17:23:42,42,109,1
2014-10-16 17:28:42,2014-10-16 17:28:42,42,103,1
2014-10-16 17:33:42,2014-10-16 17:33:42,42,104,1
2014-10-16 17:38:42,2014-10-16 17:38:42,42,119,1
2014-10-16 18:11:55,2014-10-16 18:11:55,42,104,1
2014-10-16 18:17:23,2014-10-16 18:17:23,42,115,1
2014-10-16 18:22:23,2014-10-16 18:22:23,42,116,1
2014-10-16 18:32:24,2014-10-16 18:32:24,42,112,1
2014-10-16 18:37:29,2014-10-16 18:37:29,42,94,1
2014-10-16 18:42:24,2014-10-16 18:42:24,42,95,1
2014-10-16 18:47:24,2014-10-16 18:47:24,42,109,1
2014-10-16 18:52:24,2014-10-16 18:52:24,42,97,1
2014-10-16 18:57:24,2014-10-16 18:57:24,42,104,1
2014-10-16 19:02:24,2014-10-16 19:02:24,42,103,1
2014-10-16 19:07:24,2014-10-16 19:07:24,42,101,1
2014-10-16 19:12:25,2014-10-16 19:12:25,42,109,1
2014-10-16 19:17:25,2014-10-16 19:17:25,42,47,1
2014-10-16 19:17:26,2014-10-16 19:17:26,42,97,1
2014-10-16 19:22:25,2014-10-16 19:22:25,42,92,1
2014-10-16 19:27:25,2014-10-16 19:27:25,42,100,1
2014-10-16 19:32:25,2014-10-16 19:32:25,42,110,1
2014-10-16 19:37:25,2014-10-16 19:37:25,42,113,1
2014-10-16 19:42:25,2014-10-16 19:42:25,42,113,1
2014-10-16 19:47:26,2014-10-16 19:47:26,42,99,1
2014-10-16 19:52:27,2014-10-16 19:52:27,42,115,1
2014-10-16 19:57:27,2014-10-16 19:57:27,42,116,1
2014-10-16 20:02:26,2014-10-16 20:02:26,42,105,1
2014-10-16 20:07:26,2014-10-16 20:07:26,42,104,1
2014-10-16 20:12:26,2014-10-16 20:12:26,42,109,1
2014-10-16 20:17:26,2014-10-16 20:17:26,42,105,1
2014-10-16 20:22:26,2014-10-16 20:22:26,42,109,1
2014-10-16 20:27:26,2014-10-16 20:27:26,42,118,1
2014-10-16 20:32:26,2014-10-16 20:32:26,42,111,1
2014-10-16 20:37:26,2014-10-16 20:37:26,42,107,1
2014-10-16 20:42:26,2014-10-16 20:42:26,42,111,1
2014-10-16 20:47:27,2014-10-16 20:47:27,42,47,1
2014-10-16 20:47:27,2014-10-16 20:47:27,42,116,1
2014-10-16 20:52:26,2014-10-16 20:52:26,42,46,1
2014-10-16 20:52:27,2014-10-16 20:52:27,42,113,1
2014-10-16 20:57:27,2014-10-16 20:57:27,42,111,1
2014-10-16 21:02:27,2014-10-16 21:02:27,42,96,1
2014-10-16 21:07:27,2014-10-16 21:07:27,42,101,1
2014-10-16 21:12:27,2014-10-16 21:12:27,42,114,1
2014-10-16 21:17:27,2014-10-16 21:17:27,42,96,1
2014-10-16 21:22:27,2014-10-16 21:22:27,42,102,1
2014-10-16 21:27:32,2014-10-16 21:27:32,42,113,1
2014-10-16 21:32:27,2014-10-16 21:32:27,42,99,1
2014-10-16 21:37:27,2014-10-16 21:37:27,42,119,1
2014-10-16 21:42:30,2014-10-16 21:42:30,42,100,1
2014-10-16 21:47:28,2014-10-16 21:47:28,42,101,1
2014-10-16 21:52:28,2014-10-16 21:52:28,42,111,1
2014-10-16 21:57:28,2014-10-16 21:57:28,42,108,1
2014-10-16 22:02:28,2014-10-16 22:02:28,42,115,1
2014-10-16 22:07:28,2014-10-16 22:07:28,42,120,1
2014-10-16 22:12:28,2014-10-16 22:12:28,42,101,1
2014-10-16 22:17:28,2014-10-16 22:17:28,42,49,1
2014-10-16 22:17:29,2014-10-16 22:17:29,42,76,1
2014-10-16 22:22:28,2014-10-16 22:22:28,42,46,1
2014-10-16 22:22:29,2014-10-16 22:22:29,42,117,1
2014-10-16 22:27:28,2014-10-16 22:27:28,42,113,1
2014-10-16 22:32:28,2014-10-16 22:32:28,42,112,1
2014-10-16 22:37:28,2014-10-16 22:37:28,42,105,1
2014-10-16 22:42:29,2014-10-16 22:42:29,42,105,1
2014-10-16 22:47:29,2014-10-16 22:47:29,42,109,1
2014-10-16 22:48:27,2014-10-16 22:48:27,202481588171316,0,1
2014-10-16 22:51:18,2014-10-16 22:51:18,202481588171316,0,1
2014-10-16 22:52:29,2014-10-16 22:52:29,42,120,1
2014-10-16 22:57:29,2014-10-16 22:57:29,42,100,1
2014-10-16 22:58:04,2014-10-16 22:58:04,202481588171316,0,1
2014-10-16 23:02:29,2014-10-16 23:02:29,42,107,1
2014-10-16 23:04:04,2014-10-16 23:04:04,202481588171316,0,1
2014-10-16 23:07:29,2014-10-16 23:07:29,42,113,1
2014-10-16 23:10:01,2014-10-16 23:10:01,202481588171316,0,1
2014-10-16 23:12:29,2014-10-16 23:12:29,42,112,1
2014-10-16 23:15:04,2014-10-16 23:15:04,202481588171316,0,1
2014-10-16 23:17:29,2014-10-16 23:17:29,42,115,1
2014-10-16 23:21:04,2014-10-16 23:21:04,202481588171316,0,1
2014-10-16 23:22:29,2014-10-16 23:22:29,42,107,1
2014-10-16 23:27:02,2014-10-16 23:27:02,202481588171316,0,1
2014-10-16 23:27:29,2014-10-16 23:27:29,42,111,1
2014-10-16 23:32:30,2014-10-16 23:32:30,42,112,1
2014-10-16 23:33:04,2014-10-16 23:33:04,202481588171316,0,1
2014-10-16 23:37:30,2014-10-16 23:37:30,42,105,1
2014-10-16 23:39:03,2014-10-16 23:39:03,202481588171316,0,1
2014-10-16 23:42:36,2014-10-16 23:42:36,42,94,1
2014-10-16 23:45:01,2014-10-16 23:45:01,202481588171316,0,1
2014-10-16 23:47:30,2014-10-16 23:47:30,42,108,1
2014-10-16 23:50:03,2014-10-16 23:50:03,202481588171316,0,1
